AccX,AccY,AccZ,AsX,AsY,AsZ,AngX,AngY,AngZ,timestamp
0.001,-0.008,1.022,0.000,0.000,0.000,-0.456,-0.093,0.000,2025-04-09 15:16:41
0.001,-0.008,1.022,0.000,0.000,0.000,-0.456,-0.093,0.000,2025-04-09 15:16:41
0.001,-0.008,1.022,0.061,0.000,0.000,-0.461,-0.093,0.000,2025-04-09 15:16:41
0.001,-0.008,1.023,0.061,0.000,0.000,-0.461,-0.093,0.000,2025-04-09 15:16:42
0.001,-0.008,1.022,0.061,0.000,0.000,-0.461,-0.093,0.000,2025-04-09 15:16:42
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.093,0.000,2025-04-09 15:16:42
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.093,0.000,2025-04-09 15:16:42
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:42
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:42
0.001,-0.008,1.022,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:42
0.001,-0.008,1.022,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:42
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:42
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.000,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.023,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.022,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:43
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.021,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.002,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:44
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.001,-0.008,1.023,0.061,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:45
0.002,-0.007,1.022,0.000,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.022,0.000,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.022,0.000,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.022,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.023,0.000,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:46
0.002,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.023,0.000,0.000,0.000,-0.461,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.023,0.000,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.023,0.061,0.000,0.000,-0.467,-0.088,0.000,2025-04-09 15:16:46
0.001,-0.008,1.022,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.008,1.023,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.002,-0.008,1.023,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.009,1.023,0.061,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.002,-0.008,1.022,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.008,1.022,0.061,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.008,1.021,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.008,1.023,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.001,-0.008,1.022,0.000,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
0.002,-0.008,1.023,0.061,0.000,0.000,-0.467,-0.093,0.000,2025-04-09 15:16:47
